Name,Studio,Description,Founded,Amount Raised,Crunchbase URL,LinkedIn URL,Website,# Employees,End Customer,Industry,City,State,Country,Status
Retirable,Diagram Ventures,Retirable® helps adults 50+ plan for a better future with professional retirement guidance and planning,2019,$6,https://www.crunchbase.com/organization/retirable,https://www.linkedin.com/company/retirable/,https://retirable.com/,19,Consumer,Finance,New York,NY,USA,Active
StreamingFast,Diagram Ventures,StreamingFast is a web3 builder and investor.,2018,$63,https://www.crunchbase.com/organization/dfuse-5725,https://www.linkedin.com/company/streamingfastio/,https://www.streamingfast.io/,12,Business,IT Services and IT Consulting,Montreal,,Canada,Active
Synctera,Diagram Ventures,"Platform, experiences, and programs to power the future of FinTech.",2020,$45,https://www.crunchbase.com/organization/synctera,https://www.linkedin.com/company/synctera/,https://synctera.com/,112,Business,Finance,San Francisco,CA,USA,Active
Wingocard,Diagram Ventures,Wingocard is banking created for teens.,2020,$2,https://www.crunchbase.com/organization/wingocard,https://www.linkedin.com/company/wingocard/,https://www.wingocard.com/,7,Consumer,Finance,Montreal,,Canada,Active
Boardle,Digilityx,Boardle is the final destination to find & showcase remote facilitators and workshops whatever tools they use,2022,,,https://www.linkedin.com/company/boardle-io/,https://www.boardle.io/,2,Business,Business Consulting and Service,Paris,,France,Active
Tail ai,Digilityx,Tail.ai provides the easiest solution to transform your product catalog into a conversational experience.,2017,,,https://www.linkedin.com/company/tail.ai/,https://tail.ai/en/,3,Business,E-Commerce,Paris,,France,Active
Ignite.,Digital Horizon,Embedded lending for small/medium businesses,2016,,,https://www.linkedin.com/company/ignitefunding/,https://www.igfunding.co.uk,11,Business,Fintech,Bath,,England,Active
Owlee,Digital Horizon,Digital marketing platform,2022,,,https://www.linkedin.com/company/owlee-io/about/,https://owlee.io,7,Business,Marketing Tech,London,,England,Active
BioVind,DOE Emerging Tech,Microbial detection system,2021,,,https://www.linkedin.com/company/biovind-llc/,https://www.biovind.com/,2,Business,Biotechnology Research,Charlotte,NC,USA,Active
Chiplytics,DOE Emerging Tech,Microelectronics supply chain inspections,2022,$0,https://www.crunchbase.com/organization/chiplytics,https://www.linkedin.com/company/chiplytics/,https://www.chiplytics.io/,3,Business,Manufacturing,Albuquerque,NM,USA,Active
DCT,DOE Emerging Tech,Technology products and services for smart home applications.,,,,,https://www.douglasscommonwealth.tech/,,Business,Home technology,,,,Active
Diversican Centrifuge,DOE Emerging Tech,Water treatment centrifuge,2021,,,,https://diversican.com/,,Business,Water treatment,Suwanee,GA,USA,Active
Enfluxx Tech,DOE Emerging Tech,A passive jamming system,2021,,,https://www.linkedin.com/company/enfluxx-tech/,https://enfluxxtech.com/,2,Business,Manufacturing,Dallas,TX,USA,Active
Lunano,DOE Emerging Tech,Long-lasting disinfection program technologies,2020,,,https://www.linkedin.com/company/lunano/,https://www.mylunano.com/,3,Business,Health,McLean,VA,USA,Active
Slipnot,DOE Emerging Tech,Electric rotary joint used for electrically excited rotors in motors and generators,2021,,,https://www.linkedin.com/company/slipnot/,https://slipnot.tech/,1,Consumer,Manufacturing,Brooklyn,NY,USA,Active
Space Domain Awareness,DOE Emerging Tech,Space object tracking system,2019,,,https://www.linkedin.com/company/space-domain-awareness/,https://www.spaceda.space/,2,Business,Space and defense manufacturing,Orlando,FL,USA,Active
Upp Bio,DOE Emerging Tech,Biomanufacturing operating system,2021,,,https://www.linkedin.com/company/upp-bio/,https://upp.bio/,,Business,Biotechnology,Boston,MA,USA,Active
chiplytics,DOE Emerging Tech Studio,Semiconductor inspection devices,2021,$0,https://www.crunchbase.com/organization/chiplytics?utm_source=linkedin&utm_medium=referral&utm_campaign=linkedin_companies&utm_content=profile_cta,https://www.linkedin.com/company/chiplytics/,https://www.chiplytics.io/,3,Business,Machinery,Albequerque,NM,USA,Active
Lumano,DOE Emerging Tech Studio,Disinfecting chemicals,2020,,,https://www.linkedin.com/company/lunano/,https://www.mylunano.com/,3,Business,Healthcare,McLean,VA,USA,Active
Slipnot,DOE Emerging Tech Studio,Electric rotary joint for motors and generators,2021,,,https://www.linkedin.com/company/slipnot/,https://slipnot.tech/,1,Business,Machinery,New York,NY,USA,Closed
AuthSignal,Dovetail Ventures,Fraud ops automation suite for passwords,2022,,,https://www.linkedin.com/company/authsignal/,https://www.authsignal.com,2,Business,Software Development,Orewa,,Australia,Active
Chemcloud,Dovetail Ventures,Chemicals digital procurement platform,2021,,,https://www.linkedin.com/company/chemcloud/,https://www.chemcloud.com.au/,2,Business,Chemical Manufacturing,Melbourne,Victoria,Australia,Active
Fluenccy,Dovetail Ventures,Foreign currency management software,2020,$1,https://www.crunchbase.com/organization/fluenccy,https://www.linkedin.com/company/fluenccy/,https://www.fluenccy.com/,5,Business,Software Development,Melbourne,Victoria,Australia,Active
Landmarks ID,Dovetail Ventures,Mobile location intelligence platform for marketers,2017,$1,https://www.crunchbase.com/organization/landmarks-id,https://www.linkedin.com/company/landmarks-id/,https://www.landmarksid.com/,8,Business,Software Development,Syndey,New South Wales,Australia,Active
Marmalade,Dovetail Ventures,Invoice payment platform,2019,,,https://www.linkedin.com/company/marmalade-group/,https://www.withmarmalade.com.au/,31,Business,Software Development,Sydney,New South Wales,Australia,Active
Provider Choice,Dovetail Ventures,NDIS management plan services,2018,,https://www.crunchbase.com/organization/provider-choice,https://www.linkedin.com/company/provider-choice/,https://providerchoice.com.au/,23,Consumer,Individual & Family Services,Syndey,New South Wales,Australia,Active
Runn,Dovetail Ventures,Resource demand and forecasting software,2018,$1,https://www.crunchbase.com/organization/runn-5048,https://www.linkedin.com/company/runwithrunn/,https://www.runn.io,26,Business,Software Development,Wellington,Wellington,New Zealand,Active
Tripwell,Dovetail Ventures,Travel content platform with monetization,2020,,https://www.crunchbase.com/organization/tripwell,https://www.linkedin.com/company/tripwellhq/,https://tripwell.io/,3,Business,Software Development,Sydney,New South Wales,Australia,Active
Amigos,Duodeka,App for spontaneous company,2021,,,https://www.linkedin.com/company/amigos-app/,https://amigosapp.nl,12,Consumer,Social Platform Software,Hooghiemstraplein,,Netherlands,Active
Mr Winston,Duodeka,Cloud based cash register system,2015,,,https://www.linkedin.com/company/mr--winston/,https://mrwinston.com,7,Business,Fintech,Tilburg,Noord-Brabant,Netherlands,Active
Notulen Software,Duodeka,Paperless and efficient meeting software,2018,,https://www.crunchbase.com/organization/notulen-software,https://www.linkedin.com/company/notulensoftware/,https://notulensoftware.nl/,6,Business,Software Development,Tilburg,Noord-Brabant,Netherlands,Active
Recruiting Friends,Duodeka,Position recruiting system for businesses,,,https://www.crunchbase.com/organization/recruitingfriends,https://www.linkedin.com/company/recruitingfriends/,https://recruitingfriends.com/,6,Business,Human Resources,Helvoirt,Noord-Brabant,Netherlands,Active
Abri Science,Early Charm,Advanced materials for bio health and wellbeing,2019,$0,https://www.crunchbase.com/organization/abri-science,https://www.linkedin.com/company/abri-science-llc/,http://abriscience.com/,3,Business,Pharmaceutical,Baltimore,Maryland,USA,Active
ComputChem,Early Charm,Silico covalent drug design software,2021,,,https://www.linkedin.com/company/computchem/,https://www.computchem.com,2,Business,Pharmaceutical,Baltimore,Maryland,USA,Active
Dipole Materials,Early Charm,Custom nanofiber devagmanufacturing,2015,$0,https://www.crunchbase.com/organization/dipole-materials,https://www.linkedin.com/company/dipole-materials/,https://www.dipolematerials.com,5,Business,Nano Tech Materials,Baltimore,Maryland,USA,Active
Gaskiya Diagnostics,Early Charm,Aquaculture infectious disease diagnostic kits,2019,$0,https://www.crunchbase.com/organization/gaskiya-diagnostics,https://www.linkedin.com/company/gaskiya-diagnostics/,http://www.gaskiyadiagnostics.com/,3,Business,Biotech,Baltimore,Maryland,USA,Active
Materic,Early Charm,Custom advanced material dev/manufacturing,2018,,https://www.crunchbase.com/organization/materic,https://www.linkedin.com/company/materic-group/,https://matericgroup.com,6,Business,Industrial Manufacturing,Baltimore,Maryland,USA,Active
Minnowtech,Early Charm,Aquaculture software imaging software,2018,$3,https://www.crunchbase.com/organization/minnowtech,https://www.linkedin.com/company/minnowtech/,https://www.minnowtech.com/,8,Business,Biotech,Baltimore,Maryland,USA,Active
NanoDirect,Early Charm,Nanotechnlogy materials dev/manufacturing,2014,,https://www.crunchbase.com/organization/nanodirect,https://www.linkedin.com/company/nanodirect/,https://nanodirect.com,1,Business,Nano Tech Materials,Baltimore,Maryland,USA,Active
Ortuvo,Early Charm,"Novel, scalable in vitro research tools",2020,$0,https://www.crunchbase.com/organization/ortuvo,,https://ortuvo.com/,5,Business,Biotech,Baltimore,Maryland,USA,Active
Prebeo,Early Charm,Kidney donor evaluation tech,2019,,,,https://prebeo.life/,4,Business,Biotech,Baltimore,Maryland,USA,Active
Rasio Therapeutics,Early Charm,Biopharmaceutical research for novel medicines,2019,$3,https://www.crunchbase.com/organization/rasio-therapeutics,https://www.linkedin.com/company/rasio-therapeutics-inc/,http://www.rasiotx.com/,3,Business,Pharmaceutical,Baltimore,Maryland,USA,Active
Revolve Biotechnologies,Early Charm,Protein evolution platform to detect variants,2013,,https://www.crunchbase.com/organization/revolve-biotechnologies,https://www.linkedin.com/company/revolve-biotechnologies/,http://www.revolvebiotech.com/,1,Business,Biotech,Baltimore,Maryland,USA,Active
SciGenesis,Early Charm,Cosmetic/textile protection materials dev/manufacturing,2008,,https://www.crunchbase.com/organization/scigenesis-llc,https://www.linkedin.com/company/scigenesis/,http://www.scigenesis.com,3,Business,Advanced Materials,Baltimore,Maryland,USA,Active
Silcs Bio,Early Charm,Computer driven drug design software,2012,$2,https://www.crunchbase.com/organization/silcsbio-llc,https://www.linkedin.com/company/silcsbio-llc/,http://silcsbio.com/,4,Business,Pharmaceutical,Baltimore,Maryland,USA,Active
Synteris,Early Charm,Advanced materials for additive manufacturing,2020,$5,https://www.crunchbase.com/organization/synteris,https://www.linkedin.com/company/synteris-llc/,http://www.synteris.com/,1,Business,Advanced Materials,Rockville,Maryland,USA,Active
Tarsier Optics,Early Charm,Commercializing quantum camera tech,2015,$0,https://www.crunchbase.com/organization/tarsier-optics,https://www.linkedin.com/company/tarsier-optics/,http://www.tarsieroptics.com/,3,Business,Electronics Manufacturing,Baltimore,Maryland,USA,Active
VakSea,Early Charm,Immunoprotective products for shrimp,2017,$0,https://www.crunchbase.com/organization/vaksea,https://www.linkedin.com/company/vaksea/,http://www.vaksea.com/,1,Business,Biotech,Baltimore,Maryland,USA,Active
Bound,Echoseven Labs,Short fiction story platform for mobile,2015,,https://www.crunchbase.com/organization/bound-2,https://www.linkedin.com/company/bound-publishing-inc/,https://www.getbound.io,4,Consumer,Entertainment,Los Angeles,CA,USA,Active
Aircall,eFounders,Cloud based call center,2014,$226,https://www.crunchbase.com/organization/aircall,https://www.linkedin.com/company/aircall/,https://aircall.io/,773,Business,Telecommunications,Paris,,France,Active
Briq,eFounders,Internal token system for performance,2014,$0,https://www.crunchbase.com/organization/briq,https://www.linkedin.com/company/givebriq/,https://www.givebriq.com/,3,Business,Software Development,Paris,,France,Acquired
Cohort,eFounders,NFT marketing platform for businesses,2022,,https://www.crunchbase.com/organization/cohort-4cc0,https://www.linkedin.com/company/cohortxyz/,https://cohort.xyz,2,Business,Software Development,Paris,,France,Active
Dotfile,eFounders,Client onboarding platform validating documents,2021,,https://www.crunchbase.com/organization/dotfile,https://www.linkedin.com/company/dotfile/,https://www.dotfile.com/,6,Business,Software Development,Paris,,France,Active
Folk,eFounders,Contacts management productivity app,2020,$3,https://www.crunchbase.com/organization/folk,https://www.linkedin.com/company/folkhq/,https://www.folk.app/,22,Business,Software Development,Paris,,France,Active
Forest Admin,eFounders,Back office platform builder,2017,$11,https://www.crunchbase.com/organization/forest-admin,https://www.linkedin.com/company/forestadmin/,https://www.forestadmin.com/,51,Business,Software Development,Paris,,France,Active
Front,eFounders,Communication hub for customer relations,2013,$204,https://www.crunchbase.com/organization/front-app,https://www.linkedin.com/company/fronthq/,https://front.com,480,Business,Software Development,San Francisco,CA,USA,Active
Mailjet,eFounders,E-mail design and marketing platform,2010,$18,https://www.crunchbase.com/organization/mailjet,https://www.linkedin.com/company/mailjet/,https://www.mailjet.com/,45,Business,Software Development,Paris,,France,Acquired
Spendesk,eFounders,Smart spending management for businesses,2016,$312,https://www.crunchbase.com/organization/spendesk,https://www.linkedin.com/company/spendesk/,https://www.spendesk.com,463,Business,Software Development,Paris,,France,Active
Station,eFounders,Web browser extension to organize work,2017,$5,https://www.crunchbase.com/organization/station-2,https://www.linkedin.com/company/getstation/,https://stationhq.com/,20,Business,Software Development,Paris,,France,Active
Textmaster,eFounders,Text translation platform,2011,$8,https://www.crunchbase.com/organization/textmaster,https://www.linkedin.com/company/textmaster/,https://www.textmaster.com/,45,Business,Software Development,Paris,,France,Acquired
Zenvest,eFounders,Investor management platform,2018,,https://www.crunchbase.com/organization/zenvest,,https://www.zenvest.com/,2,Business,Fintech,Paris,,France,Active
Aktiv,Elevate Startup,AKTIV is a streaming marketplace for the independent fitness professionals.,2019,$1,https://www.crunchbase.com/organization/aktiv-tv,https://www.linkedin.com/company/aktivdigital/,https://tryaktiv.com/,2,Business,Fitness,Los Angeles,CA,USA,Active
Embello,Elevate Startup,Platform that offers tailored campaigns for home brands,2018,,https://www.crunchbase.com/organization/embello,,https://embello.com/,7,Business,Home Decor,Santa Monica,CA,USA,Active
Frame,Elevate Startup,A mental wellness platform that connects clients with therapists online,2019,$3,,https://www.linkedin.com/company/tryframe/,https://tryframe.com/,,Business,Teletherapy,Santa Monica,CA,USA,Active
Junxion,Elevate Startup,Mobile platform that makes it easy for people to discover places where they can spend their cryptocurrency.,2018,,https://www.crunchbase.com/organization/junxion,https://www.linkedin.com/company/junxion/,https://junxion.app/,1,Business,Software Development,Los Angeles,CA,USA,Active
Justice IQ,Elevate Startup,Non-profit organization dedicated to preventing wrongful convictions by increasing public awareness about the systemic reasons why innocent people get convicted,2016,,,,https://justiceiq.org/,,Business,Legal,Washington,DC,USA,Active
Steady MD,Elevate Startup,B2B telehealth infrastructure provider that powers high-quality telehealth experiences for companies in all 50 states,2016,$35,https://www.crunchbase.com/organization/steadymd,https://www.linkedin.com/company/steadymd/,https://www.steadymd.com/,191,Business,Telemedicine,St. Louis,MO,USA,Active
Bunny Studio,Emma Group,Creative work outsourcing platform,2012,,https://www.crunchbase.com/organization/bunny-inc,https://www.linkedin.com/company/bunnystudio/,https://bunnystudio.com,238,Consumer,Advertising Services,San Francisco,CA,USA,Active
Torre,Emma Group,Automated talent and work search platform,2017,$10,https://www.crunchbase.com/organization/torre,https://www.linkedin.com/company/torrei/,https://torre.co/?r=Yk4L5qUE,415,Business,Human Resources,San Francisco,CA,USA,Active
Torrenegra,Emma Group,Remote accelerator for entrepreneurs,2019,,https://www.crunchbase.com/organization/torrenegra-accelerate,https://www.linkedin.com/company/torrenegra-accelerate/,http://www.torrenegra.com/,15,Business,Professional Training,San Francisco,CA,USA,Active
Tribe,Emma Group,Instant communicator for teams,2020,,https://www.crunchbase.com/organization/tribe-da69,https://www.linkedin.com/company/tribe-labs/,https://www.withyourtribe.com,19,Business,Software Development,Sanford,NC,USA,Active
Voice 123,Emma Group,Marketplace for voice overs,2003,,https://www.crunchbase.com/organization/voice123,https://www.linkedin.com/company/voice123/,https://voice123.com/#how-to-search,170,Consumer,Software Development,San Francisco,CA,USA,Acquired
D-risk,Engenesis,AI based financial risk assessment,2017,,,https://www.linkedin.com/company/drisktech/,https://d-risk.tech,2,Business,Fintech,Singapore,,Singapore,Active
Frank Food Safety Systems,Engenesis,Food safety management systems app,2017,,,,https://frankfoodsafety.com,,Business,Software Development,Sydney,,Australia,Active
Xeali,Engenesis,Client management platform for consultants,2022,,,,https://about.engenesis.com/xeali,,Business,Software Development,Sydney,,Sydney,Active
Blue Terra,Enhance Ventures,"Sustainable skin care, body, and laundry soaps",2020,,,https://www.linkedin.com/company/blueterra/,https://www.blueterra.co/en-ae,6,Consumer,Personal Care,Dubai,,UAE,Active
Clevr,Enhance Ventures,Cashback app,2022,,,https://www.linkedin.com/company/theclevrapp/,https://www.clevr.app/,6,Business,"Technology, Information and Internet",Riyadh,,Saudi Arabia,Active
Joi Gifts,Enhance Ventures,"Leading online gifting platform in KSA, UAE, Bahrain, Oman, Qatar, Jordan, Lebanon, Egypt",2015,$7,https://www.crunchbase.com/organization/joi-gifts,https://www.linkedin.com/company/joigifts/,https://www.joigifts.com/en/,81,Consumer,Gifts/Consumer Products,Dubai,,UAE,Active
Aero,Expa Studio,Travel company that matches air travelers with premium seats or shared charters.,2019,$40,https://www.crunchbase.com/organization/aero-11d2,https://www.linkedin.com/company/goaero/,https://aero.com/,152,Consumer,Airlines and Aviation,San Francisco,CA,USA,Active
Cmd,Expa Studio,Cybersecurity platform acquired by Elastic,2016,$21,https://www.crunchbase.com/organization/cmd,https://www.linkedin.com/company/cmdsecurity/,,41,Business,Cyber security,Vancouver,BC,Canada,Acquired
Collective,Expa Studio,Online concierge financial platform,2019,$29,https://www.crunchbase.com/organization/collective-8ab4,https://www.linkedin.com/company/collective/,https://www.collective.com/,227,Consumer,Finance,San Francisco,CA,USA,Active
Current,Expa Studio,U.S. financial technology platform,2015,$402,https://www.crunchbase.com/organization/current-6,https://www.linkedin.com/company/current/,https://current.com/,268,Business,Finance,New York,NY,USA,Active
Drip,Expa Studio,A subscription-based music service acquired by Kickstarter,2012,$2,https://www.crunchbase.com/organization/drip-3,,,,Business,Music,New York,NY,USA,Acquired
Eco,Expa Studio,Digital cryptocurrency platform that can be used as a payment tool for daily-use transactions.,2017,$95,https://www.crunchbase.com/organization/eco-66cd,https://www.linkedin.com/company/eco-pay/,https://eco.com/,104,Consumer,Crypto,San Francisco,CA,USA,Active
Gitalytics,Expa Studio,Analytics platform that helps engineering teams visualize workflow data from all of their projects in one place.,2018,,https://www.crunchbase.com/organization/gitalytics,https://www.linkedin.com/company/gitalytics/,,,Business,Software Development,Vancouver,BC,Canada,Acquired
Haus,Expa Studio,"Platform offers new way to own or refinance a home that's more affordable, flexible, and transparent.",2015,$23,https://www.crunchbase.com/organization/haus-2,https://www.linkedin.com/company/haus-inc./,https://haus.com/,23,Business,Finance,San Francisco,CA,USA,Active
Kit,Expa Studio,At-home medical kit delivery service,2020,$3,https://www.crunchbase.com/organization/kit-com,,,28,Business,Telemedicine,San Francisco,CA,USA,Acquired
Kit,Expa Studio,Product recommendation platform acquired by Patreon,2015,$3,https://www.crunchbase.com/organization/kit-3,https://www.linkedin.com/company/kit.com/,https://kit.co/,5,Business,Manufacturing,New York,NY,USA,Acquired
Metabase,Expa Studio,Open-source analytics and business intelligence application that allows users to create dashboards or emails.,2014,$51,https://www.crunchbase.com/organization/metabase,https://www.linkedin.com/company/metabase/,https://www.metabase.com/,50,Business,Data Infrastructure and Analytics,San Francisco,CA,USA,Active
Mix,Expa Studio,Personalized discovery platform that unlocks more of the internet you care about.,2017,,https://www.crunchbase.com/organization/mix-2,https://www.linkedin.com/company/mix.com/,https://mix.com/,14,Business,Internet Publishing,San Francisco,CA,USA,Active
Mos,Expa Studio,Student banking platform that serves as financial aid advisor,2017,$57,https://www.crunchbase.com/organization/mos,https://www.linkedin.com/company/mosdotcom/,https://www.mos.com/,66,Consumer,Finance,San Francisco,CA,USA,Active
Operator,Expa Studio,A request network that connects consumers with a network of in-store operators through a messaging platform,2017,$25,https://www.crunchbase.com/organization/operator,https://www.linkedin.com/company/operator/,,,Consumer,Retail Sales,San Francisco,CA,USA,Acquired
Reserve,Expa Studio,Restaurant reservation platform,2013,$30,https://www.crunchbase.com/organization/reserve,https://www.linkedin.com/company/reservemedia/,,22,Business,Restaurant,New York,NY,USA,Acquired
Spot,Expa Studio,Spot helps you explore the world's best places recommended by friends and experts you trust,2014,$2,https://www.crunchbase.com/organization/spot-5,https://www.linkedin.com/company/spotdotcom/,https://spot.com/,,Business,Social networking,San Francisco,CA,USA,Active
Orka,Ezra,C&I financing for solar,,,,,https://www.orkafinance.com/,,Consumer,Finance,San Francisco,CA,USA,Active
Pando,Ezra,DeFi for climate ech,2021,,,,https://www.pandoclimate.co/,,Business,Crypto,San Francisco,CA,USA,Active
Solara,Ezra,Climate tech fintech for emerging markets,2021,,,,https://www.solara.energy/,,Business,Solar energy,San Francisco,CA,USA,Active
Amutri,Falmouth Launchpad,3D visualization software,2020,,,https://www.linkedin.com/company/amutri-official/,https://www.amutri.com,7,Business,Software Development,Falmouth,,England,Active
Codices IO,Falmouth Launchpad,Live interactive video platform,2018,$2,https://www.crunchbase.com/organization/codices-interactive,https://www.linkedin.com/company/codices/,https://www.codices.io/,16,Business,Software Development,Penryn,,England,Active
Constructiv,Falmouth Launchpad,Construction workers staffing platform,2020,,,https://www.linkedin.com/company/constructiv-app/,https://www.constructiv.uk/,3,Business,Software Development,Penryn,,England,Active
Data Duopoly,Falmouth Launchpad,Sustainable visitor management platform,2019,$0,https://www.crunchbase.com/organization/data-duopoly,https://www.linkedin.com/company/data-duopoly/,https://www.dataduopoly.com/,7,Business,Software Development,Penryn,,England,Active
FindParkPay,Falmouth Launchpad,Car parking digital payment solutions,2021,,,https://www.linkedin.com/company/findparkpay/,https://www.findparkpay.co.uk/,1,Business,Software Development,Penryn,,England,Active
Glas Data,Falmouth Launchpad,Agriculture data management system,2018,$0,https://www.crunchbase.com/organization/glas-data,https://www.linkedin.com/company/glas-data,https://glas-data.co.uk/,7,Business,Software Development,Penryn,,England,Active
GoCollaborate,Falmouth Launchpad,Community sustainablity planning platform,2020,,,https://www.linkedin.com/company/go-collaborate/,https://www.gocollaborate.co.uk/about,2,Business,Software Development,Falmouth,,England,Active
GreenKode,Falmouth Launchpad,Commercial food waste monitoring system,2021,,,https://www.linkedin.com/company/greenkode/,https://greenkode.net/,2,Business,Software Development,Penryn,,England,Active
Hertzian,Falmouth Launchpad,AI text analysis software,2015,,https://www.crunchbase.com/organization/hertzian,https://www.linkedin.com/company/hertzian/,https://www.hertzian.co.uk,9,Business,Software Development,Falmouth,,England,Active
HoardBoard,Falmouth Launchpad,Online collectible marketplace,2021,,,https://www.linkedin.com/company/hoardboard/,https://www.hoardboard.co.uk/,3,Consumer,E-commerce,Treliever,,England,Active
Kevri,Falmouth Launchpad,Knowledge exchange centralized data platform,2020,,,https://www.linkedin.com/company/kevri/,https://kevri.co/,3,Business,Education,Falmouth,,England,Active
MeatFreed,Falmouth Launchpad,Reduce meat consumption online community,2021,,https://www.crunchbase.com/organization/meatfreed,https://www.linkedin.com/company/meatfreed/,https://www.meatfreed.com/,5,Consumer,Food & Beverage,Penryn,,England,Active
Moonshine Studios,Falmouth Launchpad,Independent game studio,2018,,https://www.crunchbase.com/organization/moonshine-studios,https://www.linkedin.com/company/moonshine-studios/,https://moonshinegamestudios.com/,6,Consumer,Entertainment,Penryn,,England,Active
Neap,Falmouth Launchpad,Diabetes self care management app,2020,,https://www.crunchbase.com/organization/neap,https://www.linkedin.com/company/neap-io/,https://www.neap.io,9,Consumer,Healthcare & Wellness,Falmouth,,England,Active
Now and Then,Falmouth Launchpad,Connect stories into history mobile app,2020,,,https://www.linkedin.com/company/now-then-ltd/,https://www.nowthen.uk/,1,Consumer,Software Development,Praze-An-Beeble,,England,Active
Purpose 3D,Falmouth Launchpad,Digital 3D models of historical clothing,2020,,,https://www.linkedin.com/company/purpose-3d/,https://purpose3d.co.uk/,3,Consumer,Software Development,Falmouth,,England,Active
Waving Bear Studio,Falmouth Launchpad,Indie game studio,2021,,,https://www.linkedin.com/company/waving-bear-studio/about/,https://www.wavingbearstudio.com/,6,Consumer,Software Development,Penryn,,England,Active
FinChatBot,Far Ventures,FinChatBot develops AI-powered chatbots for financial service providers,2016,$3,https://www.crunchbase.com/organization/finchatbot,https://www.linkedin.com/company/fcbai/,https://www.fcb.ai/,42,Business,Software Development,Johannesburg,,South Africa,Active
Jumpin Rides,Far Ventures,Peer-to-peer ridesharing platform connecting drivers with empty seats,2016,$177,https://www.crunchbase.com/organization/jump-in-rides,https://www.linkedin.com/company/jumpin-rides/,http://www.jumpinrides.co.za/,1,Business,Travel,Cape Town,,South Africa,Active
Spoon Money,Far Ventures,Social enterprise that offers affordable micro-loans to individuals within saving groups.,2017,$0,https://www.crunchbase.com/organization/spoon-money,https://www.linkedin.com/company/spoon-money/,https://www.spoonmoney.com/,3,Business,Finance,Cape Town,,South Africa,Active
Yethu,Far Ventures,Fintech start-up aimed at helping low income users to save,2015,$0,https://www.crunchbase.com/organization/yethu,https://www.linkedin.com/company/yethu/,http://www.yethu.co.za/,2,Business,Finance,Cape Town,,South Africa,Active
Ad Moment,Fast Lane Ventures,"Mobile advertising company, offers an advertising platform which provides intelligent targeting solutions through smartphones.",2012,$4,https://www.crunchbase.com/organization/admoment,,http://www.admoment.com/,,Business,Advertising,Berlin,,Germany,Closed
CarPrice,Fast Lane Ventures,"Online used car broker and auctioneer,",2014,$48,https://www.crunchbase.com/organization/carprice-ru,https://www.linkedin.com/company/carprice/,https://www.carprice.ru/,183,Business,Automotive,Moscow,,Russia,Acquired
IQ Card,Fast Lane Ventures,IQcard specializes in the distribution and service of bank cards and the development of loyalty programs for retailers.,2012,$8,https://www.crunchbase.com/organization/iqcard,https://www.linkedin.com/company/iqcard/,http://iqcard.ru/,9,Business,IT services and consulting,Moscow,,Russia,Closed
Relevant Media,Fast Lane Ventures,Internet company providing services for users seeking online answers to simple questions.,2010,$2,https://www.crunchbase.com/organization/relevant-media,,http://www.relevantmedia.ru/,,Business,IT services and consulting,Moscow,,Russia,Active
Sapato,Fast Lane Ventures,,2010,$20,https://www.crunchbase.com/organization/sapato-ru,https://www.linkedin.com/company/sapato-ru/,,26,Consumer,Retail Sales,Moscow,,Russia,Acquired
Shopping Live,Fast Lane Ventures,Russian teleshopping network,2010,$1,https://www.crunchbase.com/organization/shoppinglive-ru,https://www.linkedin.com/company/shopping-live/,https://www.shoppinglive.ru/,108,Business,Broadcast Media Production and Distribution,Moscow,,Russia,Acquired
Teamo,Fast Lane Ventures,Russia-based online dating website,2011,$2,https://www.crunchbase.com/organization/teamo-ru,,https://teamo.ru/,,Business,Dating,Moscow,,Russia,Acquired
Vita Portal,Fast Lane Ventures,Online web portal offering comprehensive and reliable health and medicine information.,2011,$4,https://www.crunchbase.com/organization/vitaportal-ru,https://www.linkedin.com/company/vitaportal/,http://www.vitaportal.ru/,8,Business,Healthcare,Moscow,,Russia,Active
Bascule,Fast-Up Partners,"The first full-service company (consulting, media and data) focused on FMCG brands’ eRetail activities.",2020,,,https://www.linkedin.com/company/basculeme/,http://www.bascule.me/,18,Business,E-Commerce,Paris,,France,Active
Friends Marketing 2 Inc.,Fast-Up Partners,"We design compelling brands, source innovative products and build loyal communities on various categories",2020,,,https://www.linkedin.com/company/friends-marketing-inc/,https://www.fminc.co/,,Business,E-Commerce,Paris,,France,Active
Seelk,Fast-Up Partners,"Seelk was acquired by Jellyfish on Feb 23, 2021.",2016,,https://www.crunchbase.com/organization/seelk,https://www.linkedin.com/company/seelk/,https://www.seelk.co/,,Business,E-Commerce,Paris,,France,Acquired
WinMinute,Fast-Up Partners,Mobile app on iOS and Android which helps brands and retailers improving their execution of field operations thanks to a community of users.,2013,,https://www.crunchbase.com/organization/winminute,https://www.linkedin.com/company/winminute/,http://winminute.com/,12,Business,Research Services,Paris,,France,Active
Canopy Aerospace,FedTech Startup Studio,Commercial thermal protection systems,2021,,,https://www.linkedin.com/company/canopyaerospace/,https://canopyaerospace.com/,4,Consumer,Aerospace,Chic/o,IL,USA,Active
HealieTech,FedTech Startup Studio,Sustainability technology program,2021,,,https://www.linkedin.com/company/healietech/,https://www.healietech.com/,2,Business,Manufacturing,Houston,TX,USA,Active
